InfProp	Sign
GA9	Error
GA9	Error
GA8	Error
GA0	Error
GA1	Error
GA9	Error
GA2	Error
GA9	Error
GA0	Error
GA8	Error
GA5	Error
GA5	Error
GA1	Error
GA0	Error
GA0	Error
GA1	Error
GA1	Error
GA9	Error
GA5	Error
GA4	Error
GA8	Error
GA2	Error
GA0	Error
GA1	Error
GA9	Error
GA3	Error
GA9	Error
G0	Error
GA4	Error
GA4	Error
GA4	Error
GA6	Error
GA7	Error
GA0	Error
GA2	Error
GA3	Error
GA3	Error
GA6	Error
GA3	Error
GA1	Error
GA1	Error
GA7	Error
GA8	Error
G0	Error
GA5	Error
GA8	Error
GA6	Error
GA9	Error
GA3	Error
GA8	Error
GA0	Error
GA0	Error
GA5	Error
GA6	Error
GA9	Error
GA0	Error
GA6	Error
GA8	Error
GA2	Error
GA4	Error
GA1	Error
GA9	Error
GA2	Error
GA0	Error
GA9	Error
GA8	Error
GA8	Error
GA1	Error
GA0	Error
GA8	Error
GA6	Error
GA5	Error
GA8	Error
GA2	Error
GA8	Error
GA7	Error
GA9	Error
GA1	Error
GA5	Error
GA4	Error
GA2	Error
G0	Error
GA8	Error
GA0	Error
GA9	Error
G0	Error
GA8	Error
GA1	Error
GA9	Error
GA5	Error
GA1	Error
GA2	Error
G0	Error
G0	Error
GA0	Error
GA5	Error
GA5	Error
GA4	Error
G0	Error
GA9	Error
GA9	Error
GA0	Error
GA8	Error
GA9	Error
GA9	Error
GA9	Error
GA5	Error
GA1	Error
GA7	Error
GA9	Error
GA8	Error
GA0	Error
GA0	Error
GA0	Error
GA6	Error
GA6	Error
GA4	Error
GA4	Error
GA0	Error
GA9	Error
GA5	Error
GA6	Error
GA2	Error
GA1	Error
GA0	Error
GA1	Error
GA2	Error
GA2	Error
G0	Error
GA7	Error
GA0	Error
GA9	Error
GA2	Error
GA0	Error
GA2	Error
GA7	Error
GA8	Error
GA0	Error
G0	Error
GA9	Error
GA9	Error
GA2	Error
GA2	Error
GA7	Error
GA5	Error
GA8	Error
GA5	Error
GA2	Error
GA3	Error
GA0	Error
GA8	Error
GA7	Error
GA0	Error
GA4	Error
GA1	Error
GA0	Error
GA0	Error
GA0	Error
GA9	Error
GA2	Error
GA0	Error
GA3	Error
GA0	Error
GA0	Error
GA9	Error
GA9	Error
GA0	Error
GA0	Error
GA1	Error
GA4	Error
GA0	Error
G0	Error
GA0	Error
GA3	Error
GA9	Error
GA8	Error
GA4	Error
GA9	Error
GA2	Error
GA4	Error
GA2	Error
GA4	Error
GA6	Error
GA3	Error
GA1	Error
GA1	Error
GA0	Error
GA6	Error
GA4	Error
GA7	Error
GA9	Error
GA8	Error
GA4	Error
GA6	Error
GA9	Error
GA7	Error
GA6	Error
GA0	Error
GA2	Error
GA7	Error
GA9	Error
GA3	Error
GA2	Error
GA0	Error
GA1	Error
GA1	Error
GA6	Error
GA6	Error
GA6	Error
GA7	Error
GA8	Error
GA8	Error
GA1	Error
GA7	Error
GA6	Error
GA9	Error
GA0	Error
GA8	Error
GA0	Error
GA1	Error
GA7	Error
GA2	Error
GA7	Error
GA9	Error
GA8	Error
GA9	Error
GA4	Error
GA2	Error
GA3	Error
GA5	Error
GA8	Error
GA2	Error
GA9	Error
GA3	Error
GA3	Error
GA6	Error
GA6	Error
GA5	Error
GA0	Error
GA5	Error
GA0	Error
GA7	Error
GA3	Error
GA1	Error
GA9	Error
GA7	Error
GA1	Error
GA2	Error
GA4	Error
GA7	Error
GA1	Error
GA0	Error
GA5	Error
GA6	Error
GA4	Error
GA3	Error
GA7	Error
GA2	Error
GA2	Error
GA1	Error
GA2	Error
GA5	Error
GA9	Error
GA0	Error
GA0	Error
GA1	Error
GA8	Error
GA5	Error
GA0	Error
GA4	Error
GA9	Error
GA6	Error
GA7	Error
GA9	Error
GA0	Error
GA9	Error
GA5	Error
GA8	Error
GA4	Error
GA8	Error
GA0	Error
GA7	Error
GA3	Error
GA0	Error
GA8	Error
GA0	Error
GA4	Error
GA0	Error
GA4	Error
GA9	Error
GA7	Error
GA0	Error
GA9	Error
GA8	Error
GA5	Error
GA9	Error
GA6	Error
GA9	Error
GA9	Error
GA2	Error
GA8	Error
GA5	Error
GA5	Error
GA3	Error
GA9	Error
GA4	Error
GA6	Error
G0	Error
GA5	Error
GA6	Error
GA5	Error
GA9	Error
GA6	Error
GA6	Error
GA2	Error
GA0	Error
GA8	Error
GA8	Error
GA2	Error
GA3	Error
GA6	Error
GA8	Error
GA6	Error
GA6	Error
GA2	Error
GA0	Error
GA5	Error
GA3	Error
GA4	Error
GA7	Error
GA2	Error
GA3	Error
GA3	Error
GA9	Error
GA1	Error
GA8	Error
GA7	Error
GA8	Error
GA0	Error
GA8	Error
GA5	Error
GA3	Error
GA0	Error
GA5	Error
GA9	Error
GA9	Error
GA9	Error
GA7	Error
GA9	Error
GA4	Error
GA0	Error
GA6	Error
GA3	Error
GA3	Error
GA6	Error
GA5	Error
GA6	Error
GA0	Error
GA9	Error
GA9	Error
GA8	Error
GA7	Error
GA5	Error
G0	Error
GA9	Error
GA6	Error
GA0	Error
GA3	Error
GA5	Error
GA5	Error
GA6	Error
GA2	Error
GA1	Error
GA4	Error
GA4	Error
GA9	Error
G0	Error
GA1	Error
GA8	Error
GA5	Error
GA6	Error
GA7	Error
GA2	Error
GA6	Error
G0	Error
GA3	Error
GA0	Error
GA5	Error
GA1	Error
GA0	Error
GA3	Error
GA3	Error
GA6	Error
GA2	Error
GA0	Error
GA7	Error
GA2	Error
GA1	Error
GA3	Error
GA9	Error
GA0	Error
GA8	Error
GA1	Error
GA5	Error
GA4	Error
GA9	Error
GA9	Error
GA7	Error
GA8	Error
GA6	Error
GA7	Error
GA4	Error
GA8	Error
GA9	Error
GA9	Error
GA0	Error
GA9	Error
GA9	Error
GA8	Error
GA5	Error
GA2	Error
GA3	Error
GA7	Error
GA8	Error
GA1	Error
GA2	Error
GA3	Error
GA8	Error
GA9	Error
GA5	Error
GA9	Error
GA2	Error
GA7	Error
GA9	Error
GA7	Error
GA5	Error
GA6	Error
GA7	Error
GA5	Error
GA6	Error
GA0	Error
GA4	Error
GA3	Error
GA9	Error
GA4	Error
GA6	Error
GA8	Error
GA2	Error
GA8	Error
GA8	Error
GA2	Error
GA9	Error
GA0	Error
GA2	Error
GA0	Error
GA5	Error
GA0	Error
GA4	Error
GA8	Error
GA6	Error
GA7	Error
GA4	Error
GA6	Error
GA8	Error
GA4	Error
GA5	Error
GA9	Error
GA6	Error
GA2	Error
GA6	Error
GA5	Error
GA0	Error
GA8	Error
GA3	Error
GA0	Error
GA0	Error
GA8	Error
GA8	Error
GA2	Error
GA9	Error
GA2	Error
GA6	Error
GA1	Error
G0	Error
GA9	Error
GA1	Error
GA8	Error
GA1	Error
G0	Error
GA2	Error
GA3	Error
GA4	Error
GA2	Error
GA0	Error
GA8	Error
GA0	Error
GA8	Error
GA9	Error
GA1	Error
GA4	Error
GA0	Error
GA9	Error
GA0	Error
GA1	Error
GA2	Error
GA8	Error
GA7	Error
GA9	Error
GA7	Error
GA1	Error
GA2	Error
GA3	Error
GA8	Error
GA4	Error
GA4	Error
G0	Error
GA8	Error
GA8	Error
GA7	Error
GA2	Error
GA7	Error
GA6	Error
GA1	Error
GA0	Error
GA7	Error
GA9	Error
GA8	Error
G0	Error
GA2	Error
GA1	Error
GA9	Error
GA7	Error
GA8	Error
GA6	Error
GA9	Error
GA1	Error
GA7	Error
GA2	Error
GA9	Error
GA0	Error
GA1	Error
GA9	Error
GA0	Error
GA9	Error
GA4	Error
GA6	Error
GA9	Error
GA6	Error
GA6	Error
GA9	Error
GA5	Error
GA0	Error
G0	Error
GA6	Error
GA0	Error
GA6	Error
GA8	Error
GA8	Error
GA7	Error
GA8	Error
GA9	Error
GA9	Error
GA1	Error
GA7	Error
GA9	Error
GA8	Error
GA0	Error
GA7	Error
GA1	Error
GA0	Error
GA8	Error
GA1	Error
GA7	Error
GA6	Error
GA9	Error
GA7	Error
GA5	Error
GA2	Error
GA9	Error
GA6	Error
GA8	Error
GA1	Error
GA4	Error
GA2	Error
GA0	Error
GA2	Error
GA8	Error
GA8	Error
GA6	Error
GA9	Error
GA3	Error
GA9	Error
GA0	Error
GA7	Error
GA9	Error
GA6	Error
GA1	Error
GA5	Error
GA1	Error
GA5	Error
GA7	Error
GA5	Error
GA2	Error
GA5	Error
GA7	Error
GA9	Error
GA2	Error
GA9	Error
GA3	Error
GA9	Error
GA5	Error
GA6	Error
GA1	Error
GA1	Error
GA7	Error
GA7	Error
GA7	Error
G0	Error
GA3	Error
GA0	Error
GA6	Error
GA9	Error
GA3	Error
GA8	Error
GA8	Error
GA9	Error
G0	Error
GA8	Error
GA0	Error
GA0	Error
GA3	Error
GA2	Error
GA4	Error
GA8	Error
GA3	Error
GA6	Error
GA4	Error
GA7	Error
GA7	Error
GA0	Error
GA6	Error
GA2	Error
GA9	Error
GA7	Error
GA5	Error
GA5	Error
GA8	Error
GA8	Error
GA8	Error
GA6	Error
GA2	Error
GA9	Error
GA6	Error
GA0	Error
GA9	Error
GA9	Error
GA4	Error
GA4	Error
GA9	Error
GA2	Error
GA8	Error
GA3	Error
GA8	Error
GA3	Error
GA8	Error
GA8	Error
GA7	Error
GA0	Error
GA3	Error
GA0	Error
GA9	Error
GA6	Error
GA7	Error
GA9	Error
GA3	Error
GA1	Error
GA7	Error
GA0	Error
GA4	Error
GA9	Error
GA1	Error
GA7	Error
GA6	Error
GA0	Error
GA7	Error
GA2	Error
GA4	Error
GA9	Error
GA1	Error
GA0	Error
GA5	Error
G0	Error
GA9	Error
GA3	Error
GA0	Error
GA5	Error
GA1	Error
GA2	Error
GA0	Error
GA0	Error
GA1	Error
GA9	Error
GA1	Error
GA9	Error
GA7	Error
GA7	Error
GA5	Error
GA6	Error
GA7	Error
GA7	Error
GA4	Error
GA2	Error
GA1	Error
GA1	Error
GA0	Error
GA3	Error
GA9	Error
GA1	Error
GA2	Error
GA4	Error
GA6	Error
GA2	Error
GA7	Error
GA4	Error
GA8	Error
GA7	Error
GA0	Error
GA7	Error
GA0	Error
GA2	Error
GA2	Error
GA5	Error
GA8	Error
GA0	Error
GA1	Error
GA3	Error
GA2	Error
GA3	Error
GA7	Error
GNintyNine	Error
GA3	Error
GA0	Error
GA6	Error
GA8	Error
GA2	Error
GA5	Error
GA2	Error
GA2	Error
GA7	Error
GA3	Error
GA1	Error
GA2	Error
GA0	Error
GA2	Error
GA1	Error
GA3	Error
GA6	Error
GA2	Error
GA7	Error
GA5	Error
GA0	Error
GA4	Error
GA6	Error
GA5	Error
G0	Error
GA7	Error
GA0	Error
GA5	Error
GA3	Error
GA0	Error
GA5	Error
GA9	Error
GA0	Error
GA1	Error
GA1	Error
GA6	Error
GA2	Error
GA0	Error
GA2	Error
GA0	Error
GA7	Error
GA8	Error
GA6	Error
GA4	Error
GA3	Error
GA3	Error
GA7	Error
GA0	Error
GA1	Error
GA9	Error
GA6	Error
GA8	Error
GA8	Error
GA6	Error
GA9	Error
GA2	Error
GA6	Error
GA2	Error
G0	Error
GA7	Error
GA1	Error
GA1	Error
GA2	Error
GNintyNine	Error
GA6	Error
GA7	Error
GA6	Error
GA9	Error
GA0	Error
GA5	Error
GA8	Error
GA4	Error
GA0	Error
GA8	Error
GA9	Error
GA0	Error
GA5	Error
GA9	Error
GA3	Error
GA2	Error
GA0	Error
GA0	Error
GA4	Error
GA7	Error
GA8	Error
GA6	Error
GA6	Error
GA4	Error
GA9	Error
GA9	Error
GA0	Error
GA0	Error
GA5	Error
GA0	Error
GA0	Error
GA4	Error
GA3	Error
GA1	Error
GA1	Error
GA5	Error
GA2	Error
GA1	Error
GA2	Error
GA7	Error
GA4	Error
GA7	Error
GA8	Error
GA2	Error
GA2	Error
GA0	Error
GA4	Error
GA6	Error
GA9	Error
GA5	Error
GA2	Error
GA5	Error
GA9	Error
GA1	Error
GA3	Error
GA8	Error
GA1	Error
GA9	Error
GA1	Error
GA6	Error
GA3	Error
GA3	Error
GA5	Error
GA0	Error
GA0	Error
GA7	Error
GA4	Error
GA7	Error
GA9	Error
GA0	Error
GA0	Error
GA2	Error
GA4	Error
G0	Error
GA0	Error
GA3	Error
GA1	Error
GA2	Error
GA6	Error
GA1	Error
GA7	Error
GA0	Error
GA7	Error
GA7	Error
GA0	Error
GA9	Error
GA9	Error
GA3	Error
GA2	Error
GA7	Error
GA4	Error
GA7	Error
GA7	Error
GA5	Error
GA0	Error
GA8	Error
GA0	Error
GA5	Error
GA7	Error
GA0	Error
GA2	Error
GA8	Error
G0	Error
GA0	Error
GA9	Error
GA7	Error
GA4	Error
GA8	Error
GA8	Error
GA7	Error
GA3	Error
GA6	Error
G0	Error
GA8	Error
GA7	Error
GA0	Error
GA5	Error
GA0	Error
GA9	Error
GA1	Error
GA9	Error
GA0	Error
GA8	Error
GA6	Error
GA2	Error
GA6	Error
GA5	Error
GA9	Error
GA1	Error
GA1	Error
GA0	Error
GA1	Error
GA8	Error
GA2	Error
GA3	Error
GA7	Error
GA0	Error
GA7	Error
GA6	Error
G0	Error
GA2	Error
GA5	Error
GA3	Error
GA7	Error
GA6	Error
GA4	Error
GA9	Error
GA8	Error
GA9	Error
GA0	Error
GA1	Error
GA9	Error
GA7	Error
GA7	Error
GA6	Error
GA9	Error
GA1	Error
GA2	Error
GA1	Error
GA0	Error
GA0	Error
GA6	Error
GA4	Error
GA7	Error
GA3	Error
GA5	Error
GA0	Error
GA0	Error
GA6	Error
GA2	Error
GA8	Error
GA8	Error
GA0	Error
GA5	Error
GA9	Error
GA9	Error
GA9	Error
GA9	Error
GA1	Error
GA4	Error
GA9	Error
GA2	Error
GA3	Error
GA7	Error
GA0	Error
GA9	Error
GA9	Error
GA5	Error
GA6	Error
GA1	Error
GA8	Error
GA9	Error
G0	Error
GA1	Error
GA1	Error
GA4	Error
GA9	Error
GA6	Error
GA8	Error
GA1	Error
GA7	Error
GA2	Error
GA8	Error
GA0	Error
GA8	Error
GA2	Error
GA0	Error
GA3	Error
GA1	Error
GA3	Error
GA4	Error
GA7	Error
GA2	Error
GA5	Error
GA1	Error
GA9	Error
GA0	Error
GA7	Error
GA7	Error
GA5	Error
GA1	Error
GA4	Error
GA4	Error
GA0	Error
GA8	Error
GA1	Error
GA9	Error
GA2	Error
GA0	Error
GA6	Error
GA2	Error
GA5	Error
GA3	Error
GA8	Error
GA8	Error
GA3	Error
GA8	Error
GA6	Error
GA6	Error
GA9	Error
GA7	Error
GA8	Error
GA6	Error
G0	Error
GA8	Error
GA1	Error
GA0	Error
GA8	Error
GA0	Error
GA6	Error
GA4	Error
GA3	Error
GA3	Error
GA8	Error
GA5	Error
GA8	Error
GA5	Error
GA9	Error
GA9	Error
GA5	Error
GA7	Error
GA0	Error
GA0	Error
GA7	Error
GA6	Error
GA0	Error
GA4	Error
GA2	Error
GNintyNine	Error
G0	Error
G0	Error
GA2	Error
GA2	Error
GA7	Error
GA0	Error
GA2	Error
GA2	Error
GA8	Error
G0	Error
GA5	Error
GA9	Error
G0	Error
GA7	Error
GA7	Error
GA1	Error
GA7	Error
GA9	Error
GA2	Error
GA6	Error
GA9	Error
GA5	Error
GA9	Error
GA0	Error
GA0	Error
GA6	Error
GA4	Error
GA8	Error
GA2	Error
GA8	Error
GA8	Error
GA8	Error
GA9	Error
GA4	Error
GA0	Error
GA6	Error
GA8	Error
GA4	Error
GA2	Error
GA1	Error
GA5	Error
GA4	Error
GA1	Error
GA8	Error
GA1	Error
GA5	Error
GA4	Error
GA8	Error
GA3	Error
GA3	Error
GA7	Error
GA2	Error
GA3	Error
GA6	Error
GA6	Error
GA3	Error
GA8	Error
GA3	Error
GA0	Error
GA2	Error
GA1	Error
GA0	Error
GA2	Error
G0	Error
GA8	Error
GA0	Error
GA7	Error
GA0	Error
GA4	Error
GA9	Error
GA9	Error
GA0	Error
GA9	Error
GA2	Error
GA3	Error
GA2	Error
GA9	Error
GA0	Error
GA9	Error
GA1	Error
GA0	Error
GA3	Error
GA8	Error
GA6	Error
GA1	Error
GA3	Error
GA2	Error
GA9	Error
GA0	Error
GA2	Error
GA1	Error
GA5	Error
GA5	Error
G0	Error
GA2	Error
GA2	Error
GA4	Error
GA4	Error
GA9	Error
GA2	Error
GA9	Error
GA0	Error
GA8	Error
GA8	Error
GA9	Error
GA1	Error
GA2	Error
GA9	Error
GA4	Error
GA4	Error
GA2	Error
GA0	Error
GA6	Error
GA2	Error
GA1	Error
GA1	Error
GA7	Error
GA2	Error
GA1	Error
GA8	Error
GA9	Error
G0	Error
GA0	Error
G0	Error
GA1	Error
GA0	Error
GA8	Error
GA3	Error
G0	Error
GA8	Error
GA1	Error
GA7	Error
GA7	Error
GA0	Error
GA5	Error
GA8	Error
GA9	Error
GA8	Error
GA9	Error
GA0	Error
GA0	Error
GA9	Error
GA9	Error
GA1	Error
GA1	Error
GA0	Error
GA1	Error
GA7	Error
GA4	Error
GA6	Error
GA3	Error
GA6	Error
GA9	Error
GA8	Error
GA0	Error
GA5	Error
GA1	Error
GA8	Error
GA8	Error
GA7	Error
GA7	Error
GA8	Error
GA8	Error
GA9	Error
GA2	Error
GA6	Error
GA6	Error
GA6	Error
GA2	Error
GA7	Error
GA0	Error
GA2	Error
GA7	Error
GA3	Error
GA8	Error
GA2	Error
GA0	Error
GA8	Error
GA5	Error
GA7	Error
GA5	Error
GA8	Error
GA8	Error
GA3	Error
GA4	Error
GA5	Error
GA7	Error
GA9	Error
GA1	Error
GA9	Error
GA7	Error
GA7	Error
GA7	Error
GA3	Error
GA9	Error
G0	Error
GA8	Error
GA7	Error
GA0	Error
GA9	Error
GA5	Error
GA6	Error
GA0	Error
GA2	Error
GA2	Error
GA7	Error
G0	Error
GA5	Error
GA8	Error
GA2	Error
GA0	Error
GA5	Error
GA7	Error
GA2	Error
GA0	Error
GA0	Error
GA2	Error
GA6	Error
GA5	Error
GA3	Error
GA7	Error
GA8	Error
GA1	Error
GA6	Error
GA6	Error
GA7	Error
G0	Error
GA7	Error
GA5	Error
GA2	Error
GA7	Error
GA0	Error
GA1	Error
GA6	Error
GA8	Error
GA4	Error
GA8	Error
GA5	Error
GA0	Error
GA9	Error
GA3	Error
GA7	Error
GA9	Error
GA0	Error
GA0	Error
GA0	Error
GA6	Error
GA9	Error
GA7	Error
GA4	Error
GA9	Error
GA5	Error
GA1	Error
GA7	Error
GA8	Error
GA0	Error
GA8	Error
GA7	Error
GA7	Error
G0	Error
GA5	Error
GA6	Error
GA2	Error
GA3	Error
GA5	Error
GA2	Error
GA9	Error
GA2	Error
GA2	Error
GA0	Error
GA3	Error
GA1	Error
GA0	Error
GA1	Error
GA0	Error
G0	Error
GA4	Error
GA0	Error
GA3	Error
GA4	Error
GA6	Error
GA8	Error
GA8	Error
GA3	Error
GA0	Error
GA2	Error
GA1	Error
GA4	Error
GA9	Error
GA0	Error
GA6	Error
GA6	Error
GA6	Error
GA7	Error
GA7	Error
GA8	Error
GA4	Error
GA4	Error
GA0	Error
GA1	Error
GA2	Error
GA1	Error
GA7	Error
GA7	Error
GA7	Error
GA4	Error
GA7	Error
GA2	Error
GA8	Error
GA3	Error
GA9	Error
GA4	Error
GA5	Error
GA9	Error
GA1	Error
GA9	Error
GA7	Error
GA0	Error
GA4	Error
GA7	Error
GA3	Error
GA0	Error
GA4	Error
GA2	Error
GA6	Error
GA4	Error
GA2	Error
GA8	Error
GA6	Error
GA8	Error
GA7	Error
GA3	Error
GA3	Error
GA3	Error
GA5	Error
GA9	Error
G0	Error
GA2	Error
GA1	Error
GA6	Error
GA0	Error
GA7	Error
GA8	Error
GA5	Error
GA6	Error
GA5	Error
GA7	Error
GA5	Error
GA0	Error
GA8	Error
GA4	Error
GA1	Error
GA8	Error
GA7	Error
GA1	Error
G0	Error
GA2	Error
GA3	Error
GA0	Error
GA6	Error
GA9	Error
GA3	Error
GA8	Error
GA7	Error
GA6	Error
GA1	Error
GA2	Error
GA1	Error
GA7	Error
GA3	Error
GA0	Error
GA7	Error
GA2	Error
GA2	Error
GA7	Error
GA9	Error
GA3	Error
GA0	Error
GA9	Error
GA5	Error
GA7	Error
G0	Error
GA8	Error
GA0	Error
GA0	Error
GA4	Error
GA8	Error
GA9	Error
GA3	Error
GA3	Error
GA8	Error
GA1	Error
GA9	Error
GA8	Error
GA8	Error
GA9	Error
GA5	Error
GA8	Error
GA6	Error
GA9	Error
GA5	Error
GA6	Error
GA5	Error
GA6	Error
GA0	Error
GA5	Error
GA2	Error
GA9	Error
GA0	Error
GA2	Error
GA8	Error
GA9	Error
GA8	Error
GA6	Error
GA9	Error
GA0	Error
GA3	Error
GA8	Error
GA5	Error
GA2	Error
GA7	Error
GA9	Error
G0	Error
GA7	Error
GA6	Error
GA0	Error
GA8	Error
GA4	Error
GA9	Error
GA2	Error
GA9	Error
GA3	Error
GA3	Error
GA4	Error
GA9	Error
GA9	Error
GA1	Error
GA9	Error
GA3	Error
G0	Error
GA8	Error
GA6	Error
GA3	Error
GA9	Error
GA5	Error
G0	Error
GA1	Error
GA0	Error
GA1	Error
GA0	Error
GA6	Error
GA8	Error
GA2	Error
GA8	Error
GA9	Error
GA5	Error
GA8	Error
GA3	Error
GA0	Error
GA0	Error
GA4	Error
GA2	Error
GA1	Error
GA7	Error
GA8	Error
GA4	Error
GA0	Error
GA3	Error
GA8	Error
GA0	Error
GA0	Error
GA4	Error
GA7	Error
GA6	Error
